chr8:127569133..127570134,-	FAM84B	4	TCGA-A8-A09I,TCGA-AO-A0J4,TCGA-B6-A0IJ,TCGA-B6-A0RT	HS_chr8_127522219_127522302,HS_chr8_127576050_127576111,HS_chr8_127665102_127665140,HS_chr8_127711780_127711813
chr17:43213011..43214012,+	ACBD4,ACBD4_ENST00000431281	2	TCGA-A8-A08L,TCGA-BH-A0E0	HS_chr17_43225054_43225104,HS_chr17_43309175_43309222
chr10:54073694..54074695,+	DKK1	1	TCGA-C8-A12L	HS_chr10_54249111_54249176
chr10:99331964..99332965,+	ANKRD2	1	TCGA-A8-A094	HS_chr10_99294529_99294602
chr1:107598910..107599911,+	PRMT6_ENST00000540389	1	TCGA-E2-A15E	HS_chr1_107685017_107685025
chr1:107599014..107600015,+	PRMT6	1	TCGA-E2-A15E	HS_chr1_107685017_107685025
chr11:120382012..120383013,+	ENSG00000204306	1	TCGA-A2-A0D0,TCGA-A8-A09X	HS_chr11_120419551_120419603
chr11:13375355..13376356,+	ARNTL,ARNTL_ENST00000389708	1	TCGA-AQ-A04J	HS_chr11_13557337_13557440
chr11:27720451..27721452,-	BDNF_ENST00000395986	1	TCGA-A8-A08B	HS_chr11_29180287_29180370
chr1:144989140..144990141,+	ENSG00000268172	1	TCGA-A2-A04P	HS_chr1_144932443_144932472
